Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance,Attrition,Age_Group,Distance_Group,HourlyRate_Group,MonthlyIncome_Group,MonthlyRate_Group,DailyRate_Group,PercentSalaryHike_Group
34.0,Travel_Rarely,419.0,Research & Development,7.0,Master,Life Sciences,Low,Female,53.0,High,3.0,Research Director,Medium,Single,11994.0,21293.0,0.0,No,11.0,Excellent,High,4.0,Better,No,Age_group 2,Distance_3,HourlyRate_2,Income_5,Rate_4,DailyRate_2,PercentSalaryHike_1
21.0,Travel_Rarely,391.0,Research & Development,15.0,College,Life Sciences,High,Male,96.0,High,1.0,Research Scientist,Very High,Single,1232.0,19281.0,1.0,No,14.0,Excellent,Very High,6.0,Better,No,Age_group 1,Distance_4,HourlyRate_5,Income_1,Rate_4,DailyRate_1,PercentSalaryHike_3
34.0,Travel_Rarely,699.0,Research & Development,6.0,Below College,Medical,Medium,Male,83.0,High,1.0,Research Scientist,Low,Single,2960.0,17102.0,2.0,No,11.0,Excellent,High,2.0,Better,Yes,Age_group 2,Distance_3,HourlyRate_4,Income_2,Rate_4,DailyRate_3,PercentSalaryHike_1
53.0,Travel_Rarely,1282.0,Research & Development,5.0,Bachelor,Other,High,Female,58.0,High,5.0,Manager,High,Divorced,19094.0,10735.0,4.0,No,11.0,Excellent,Very High,3.0,Good,No,Age_group 5,Distance_2,HourlyRate_2,Income_5,Rate_2,DailyRate_5,PercentSalaryHike_1
32.0,Travel_Frequently,1125.0,Research & Development,16.0,Bachelor,Life Sciences,Medium,Female,72.0,Low,1.0,Research Scientist,Low,Single,3919.0,4681.0,1.0,Yes,22.0,Outstanding,Medium,5.0,Better,Yes,Age_group 2,Distance_4,HourlyRate_3,Income_2,Rate_1,DailyRate_4,PercentSalaryHike_5
42.0,Travel_Rarely,691.0,Sales,8.0,Master,Marketing,High,Male,48.0,High,2.0,Sales Executive,Medium,Married,6825.0,21173.0,0.0,No,11.0,Excellent,Very High,2.0,Better,No,Age_group 4,Distance_3,HourlyRate_2,Income_4,Rate_4,DailyRate_3,PercentSalaryHike_1
44.0,Travel_Rarely,477.0,Research & Development,7.0,Master,Medical,Low,Female,42.0,Medium,3.0,Healthcare Representative,Very High,Married,10248.0,2094.0,3.0,No,14.0,Excellent,Very High,4.0,Better,No,Age_group 4,Distance_3,HourlyRate_1,Income_5,Rate_1,DailyRate_2,PercentSalaryHike_3
46.0,Travel_Rarely,705.0,Sales,2.0,Master,Marketing,Medium,Female,83.0,High,5.0,Manager,Low,Single,18947.0,22822.0,3.0,No,12.0,Excellent,Very High,2.0,Good,No,Age_group 5,Distance_1,HourlyRate_4,Income_5,Rate_5,DailyRate_3,PercentSalaryHike_1
33.0,Travel_Rarely,924.0,Research & Development,2.0,Bachelor,Medical,High,Male,78.0,High,1.0,Laboratory Technician,Very High,Single,2496.0,6670.0,4.0,No,11.0,Excellent,Very High,3.0,Better,No,Age_group 2,Distance_1,HourlyRate_4,Income_1,Rate_1,DailyRate_3,PercentSalaryHike_1
44.0,Travel_Rarely,1459.0,Research & Development,10.0,Master,Other,Very High,Male,41.0,High,2.0,Healthcare Representative,Very High,Married,6465.0,19121.0,2.0,Yes,13.0,Excellent,Very High,5.0,Best,No,Age_group 4,Distance_4,HourlyRate_1,Income_4,Rate_4,DailyRate_5,PercentSalaryHike_2
30.0,Travel_Rarely,125.0,Research & Development,9.0,College,Medical,Very High,Male,83.0,Medium,1.0,Laboratory Technician,High,Single,2206.0,16117.0,1.0,No,13.0,Excellent,Low,5.0,Better,No,Age_group 2,Distance_3,HourlyRate_4,Income_1,Rate_3,DailyRate_1,PercentSalaryHike_2
39.0,Travel_Rarely,895.0,Sales,5.0,Bachelor,Technical Degree,Very High,Male,56.0,High,2.0,Sales Representative,Very High,Married,2086.0,3335.0,3.0,No,14.0,Excellent,High,6.0,Best,Yes,Age_group 4,Distance_2,HourlyRate_2,Income_1,Rate_1,DailyRate_3,PercentSalaryHike_3
24.0,Travel_Rarely,813.0,Research & Development,1.0,Bachelor,Medical,Medium,Male,61.0,High,1.0,Research Scientist,Very High,Married,2293.0,3020.0,2.0,Yes,16.0,Excellent,Low,2.0,Good,Yes,Age_group 1,Distance_1,HourlyRate_3,Income_1,Rate_1,DailyRate_3,PercentSalaryHike_4
43.0,Travel_Rarely,1273.0,Research & Development,2.0,College,Medical,Very High,Female,72.0,Very High,1.0,Research Scientist,High,Divorced,2645.0,21923.0,1.0,No,12.0,Excellent,Very High,3.0,Good,No,Age_group 4,Distance_1,HourlyRate_3,Income_1,Rate_5,DailyRate_5,PercentSalaryHike_1
50.0,Travel_Rarely,869.0,Sales,3.0,College,Marketing,Low,Male,86.0,Medium,1.0,Sales Representative,High,Married,2683.0,3810.0,1.0,Yes,14.0,Excellent,High,2.0,Better,Yes,Age_group 5,Distance_2,HourlyRate_4,Income_1,Rate_1,DailyRate_3,PercentSalaryHike_3
35.0,Travel_Rarely,890.0,Sales,2.0,Bachelor,Marketing,Very High,Female,97.0,High,1.0,Sales Representative,Very High,Married,2014.0,9687.0,1.0,No,13.0,Excellent,Low,3.0,Better,No,Age_group 3,Distance_1,HourlyRate_5,Income_1,Rate_2,DailyRate_3,PercentSalaryHike_2
36.0,Travel_Rarely,852.0,Research & Development,5.0,Master,Life Sciences,Medium,Female,82.0,Medium,1.0,Research Scientist,Low,Married,3419.0,13072.0,9.0,Yes,14.0,Excellent,Very High,3.0,Best,No,Age_group 3,Distance_2,HourlyRate_4,Income_2,Rate_3,DailyRate_3,PercentSalaryHike_3
33.0,Travel_Frequently,1141.0,Sales,1.0,Bachelor,Life Sciences,High,Female,42.0,Very High,2.0,Sales Executive,Low,Married,5376.0,3193.0,2.0,No,19.0,Excellent,Low,3.0,Better,No,Age_group 2,Distance_1,HourlyRate_1,Income_3,Rate_1,DailyRate_4,PercentSalaryHike_4
35.0,Travel_Rarely,464.0,Research & Development,4.0,College,Other,High,Male,75.0,High,1.0,Laboratory Technician,Very High,Divorced,1951.0,10910.0,1.0,No,12.0,Excellent,High,3.0,Better,No,Age_group 3,Distance_2,HourlyRate_4,Income_1,Rate_2,DailyRate_2,PercentSalaryHike_1
27.0,Travel_Rarely,1240.0,Research & Development,2.0,Master,Life Sciences,Very High,Female,33.0,High,1.0,Laboratory Technician,Low,Divorced,2341.0,19715.0,1.0,No,13.0,Excellent,Very High,6.0,Better,No,Age_group 1,Distance_1,HourlyRate_1,Income_1,Rate_4,DailyRate_5,PercentSalaryHike_2
26.0,Travel_Rarely,1357.0,Research & Development,25.0,Bachelor,Life Sciences,Low,Male,48.0,Low,1.0,Laboratory Technician,High,Single,2293.0,10558.0,1.0,No,12.0,Excellent,High,2.0,Good,Yes,Age_group 1,Distance_5,HourlyRate_2,Income_1,Rate_2,DailyRate_5,PercentSalaryHike_1
27.0,Travel_Frequently,994.0,Sales,8.0,Bachelor,Life Sciences,Very High,Male,37.0,High,3.0,Sales Executive,High,Single,8726.0,2975.0,1.0,No,15.206064782908339,Excellent,Very High,0.0,Better,No,Age_group 1,Distance_3,HourlyRate_1,Income_4,Rate_1,DailyRate_4,PercentSalaryHike_4
30.0,Travel_Frequently,721.0,Research & Development,1.0,College,Medical,High,Female,58.0,High,2.0,Laboratory Technician,Very High,Single,4011.0,10781.0,1.0,No,23.0,Outstanding,Very High,2.0,Better,No,Age_group 2,Distance_1,HourlyRate_2,Income_2,Rate_2,DailyRate_3,PercentSalaryHike_5
41.0,Travel_Rarely,1360.0,Research & Development,12.0,Bachelor,Technical Degree,Medium,Female,49.0,High,5.0,Research Director,High,Married,19545.0,16280.0,1.0,No,12.0,Excellent,Very High,0.0,Better,Yes,Age_group 4,Distance_4,HourlyRate_2,Income_5,Rate_3,DailyRate_5,PercentSalaryHike_1
34.0,Non-Travel,1065.0,Sales,23.0,Master,Marketing,Medium,Male,72.0,High,2.0,Sales Executive,High,Single,4568.0,10034.0,0.0,No,20.0,Outstanding,High,2.0,Better,No,Age_group 2,Distance_5,HourlyRate_3,Income_3,Rate_2,DailyRate_4,PercentSalaryHike_5
37.0,Travel_Rarely,408.0,Research & Development,19.0,College,Life Sciences,Medium,Male,73.0,High,1.0,Research Scientist,Medium,Married,3022.0,10227.0,4.0,No,21.0,Outstanding,Low,1.0,Better,No,Age_group 3,Distance_5,HourlyRate_3,Income_2,Rate_2,DailyRate_2,PercentSalaryHike_5
46.0,Travel_Frequently,1211.0,Sales,5.0,Master,Marketing,Low,Male,98.0,High,2.0,Sales Executive,Very High,Single,5772.0,20445.0,4.0,Yes,21.0,Outstanding,High,2.0,Better,No,Age_group 5,Distance_2,HourlyRate_5,Income_4,Rate_4,DailyRate_4,PercentSalaryHike_5
35.0,Travel_Rarely,1229.0,Research & Development,8.0,Below College,Life Sciences,Very High,Male,36.0,Very High,1.0,Laboratory Technician,Very High,Married,2269.0,4892.0,1.0,No,19.0,Excellent,Very High,2.0,Better,No,Age_group 3,Distance_3,HourlyRate_1,Income_1,Rate_1,DailyRate_5,PercentSalaryHike_4
48.0,Travel_Rarely,626.0,Research & Development,1.0,College,Life Sciences,Low,Male,98.0,Medium,3.0,Laboratory Technician,High,Single,5381.0,19294.0,1.0,Yes,13.0,Excellent,Very High,2.0,Better,Yes,Age_group 5,Distance_1,HourlyRate_5,Income_3,Rate_4,DailyRate_2,PercentSalaryHike_2
36.929014472777396,Travel_Rarely,1434.0,Research & Development,5.0,Master,Technical Degree,High,Male,50.0,High,1.0,Laboratory Technician,High,Single,3441.0,11179.0,1.0,Yes,13.0,Excellent,High,3.0,Good,Yes,Age_group 3,Distance_2,HourlyRate_2,Income_2,Rate_2,DailyRate_5,PercentSalaryHike_2
36.929014472777396,Travel_Rarely,1488.0,Sales,1.0,Doctor,Marketing,Medium,Female,75.0,High,2.0,Sales Executive,Low,Divorced,6509.432098765432,4009.0,5.0,Yes,21.0,Outstanding,High,2.0,Good,No,Age_group 3,Distance_1,HourlyRate_4,Income_4,Rate_1,DailyRate_5,PercentSalaryHike_5
35.0,Non-Travel,1097.0,Research & Development,11.0,College,Medical,High,Male,79.0,Medium,3.0,Healthcare Representative,Low,Married,9884.0,8302.0,1.0,Yes,13.0,Excellent,High,3.0,Better,No,Age_group 3,Distance_4,HourlyRate_4,Income_5,Rate_2,DailyRate_4,PercentSalaryHike_2
26.0,Travel_Rarely,1443.0,Sales,23.0,Bachelor,Marketing,High,Female,47.0,Medium,2.0,Sales Executive,Very High,Married,4157.0,21436.0,7.0,Yes,19.0,Excellent,High,2.0,Good,No,Age_group 1,Distance_5,HourlyRate_2,Income_2,Rate_4,DailyRate_5,PercentSalaryHike_4
33.0,Travel_Frequently,515.0,Research & Development,1.0,College,Life Sciences,Low,Female,98.0,High,3.0,Research Director,Very High,Single,13458.0,15146.0,1.0,Yes,12.0,Excellent,High,1.0,Better,No,Age_group 2,Distance_1,HourlyRate_5,Income_5,Rate_3,DailyRate_2,PercentSalaryHike_1
35.0,Travel_Frequently,853.0,Sales,18.0,Doctor,Life Sciences,Medium,Male,71.0,High,3.0,Sales Executive,Low,Married,9069.0,11031.0,1.0,No,22.0,Outstanding,Very High,3.0,Good,No,Age_group 3,Distance_5,HourlyRate_3,Income_4,Rate_2,DailyRate_3,PercentSalaryHike_5
35.0,Travel_Rarely,1142.0,Research & Development,23.0,Master,Medical,High,Female,30.0,High,1.0,Laboratory Technician,Low,Married,4014.0,16002.0,3.0,Yes,15.0,Excellent,High,3.0,Better,No,Age_group 3,Distance_5,HourlyRate_1,Income_2,Rate_3,DailyRate_4,PercentSalaryHike_3
31.0,Travel_Rarely,655.0,Research & Development,7.0,Master,Life Sciences,Very High,Male,48.0,High,2.0,Laboratory Technician,Very High,Divorced,5915.0,9528.0,3.0,No,22.0,Outstanding,Very High,3.0,Good,No,Age_group 2,Distance_3,HourlyRate_2,Income_4,Rate_2,DailyRate_2,PercentSalaryHike_5
37.0,Travel_Rarely,1115.0,Research & Development,1.0,Master,Life Sciences,Low,Male,51.0,Medium,2.0,Manufacturing Director,High,Divorced,5993.0,2689.0,1.0,No,18.0,Excellent,High,2.0,Best,No,Age_group 3,Distance_1,HourlyRate_2,Income_4,Rate_1,DailyRate_4,PercentSalaryHike_4
32.0,Travel_Rarely,427.0,Research & Development,1.0,Bachelor,Medical,Low,Male,33.0,High,2.0,Manufacturing Director,Very High,Married,6162.0,10877.0,1.0,Yes,22.0,Outstanding,Medium,3.0,Better,No,Age_group 2,Distance_1,HourlyRate_1,Income_4,Rate_2,DailyRate_2,PercentSalaryHike_5
38.0,Travel_Frequently,653.0,Research & Development,29.0,Doctor,Life Sciences,Very High,Female,50.0,High,2.0,Laboratory Technician,Very High,Single,2406.0,5456.0,1.0,No,11.0,Excellent,Very High,2.0,Better,No,Age_group 3,Distance_5,HourlyRate_2,Income_1,Rate_1,DailyRate_2,PercentSalaryHike_1
50.0,Travel_Rarely,989.0,Research & Development,7.0,College,Medical,Medium,Female,43.0,Medium,5.0,Research Director,High,Divorced,18740.0,16701.0,5.0,Yes,12.0,Excellent,Very High,2.0,Good,No,Age_group 5,Distance_3,HourlyRate_1,Income_5,Rate_4,DailyRate_4,PercentSalaryHike_1
59.0,Travel_Rarely,1435.0,Sales,25.0,Bachelor,Life Sciences,Low,Female,99.0,High,3.0,Sales Executive,Low,Single,7637.0,2354.0,7.0,No,11.0,Excellent,Very High,3.0,Good,No,Age_group 5,Distance_5,HourlyRate_5,Income_4,Rate_1,DailyRate_5,PercentSalaryHike_1
36.0,Travel_Rarely,1223.0,Research & Development,8.0,Bachelor,Technical Degree,High,Female,59.0,High,3.0,Healthcare Representative,High,Divorced,10096.0,8202.0,1.0,No,13.0,Excellent,Medium,2.0,Better,No,Age_group 3,Distance_3,HourlyRate_2,Income_5,Rate_2,DailyRate_4,PercentSalaryHike_2
55.0,Travel_Rarely,836.0,Research & Development,8.0,Bachelor,Medical,Very High,Female,33.0,High,4.0,Manager,High,Divorced,14756.0,19730.0,2.0,Yes,14.0,Excellent,High,2.0,Better,No,Age_group 5,Distance_3,HourlyRate_1,Income_5,Rate_4,DailyRate_3,PercentSalaryHike_3
36.0,Travel_Frequently,1195.0,Research & Development,11.0,Bachelor,Life Sciences,Medium,Male,95.0,Medium,2.0,Manufacturing Director,Medium,Single,6499.0,22656.0,1.0,No,13.0,Excellent,High,3.0,Better,No,Age_group 3,Distance_4,HourlyRate_5,Income_4,Rate_5,DailyRate_4,PercentSalaryHike_2
45.0,Travel_Rarely,1339.0,Research & Development,7.0,Bachelor,Life Sciences,Medium,Male,59.0,High,3.0,Research Scientist,Low,Divorced,9724.0,18787.0,2.0,No,17.0,Excellent,High,2.0,Better,No,Age_group 4,Distance_3,HourlyRate_2,Income_4,Rate_4,DailyRate_5,PercentSalaryHike_4
35.0,Travel_Frequently,664.0,Research & Development,1.0,Bachelor,Medical,Medium,Male,79.0,High,1.0,Research Scientist,Low,Married,2194.0,5868.0,4.0,No,13.0,Excellent,Very High,2.0,Good,No,Age_group 3,Distance_1,HourlyRate_4,Income_1,Rate_1,DailyRate_3,PercentSalaryHike_2
36.0,Travel_Rarely,318.0,Research & Development,9.0,Bachelor,Medical,Very High,Male,65.85773195876288,Medium,1.0,Research Scientist,High,Married,3388.0,21777.0,0.0,Yes,17.0,Excellent,Low,0.0,Good,Yes,Age_group 3,Distance_3,HourlyRate_3,Income_2,Rate_5,DailyRate_1,PercentSalaryHike_4
59.0,Travel_Frequently,1225.0,Sales,1.0,Below College,Life Sciences,Low,Female,57.0,Medium,2.0,Sales Executive,High,Single,5473.0,24668.0,7.0,No,11.0,Excellent,Very High,2.0,Good,No,Age_group 5,Distance_1,HourlyRate_2,Income_3,Rate_5,DailyRate_5,PercentSalaryHike_1
29.0,Travel_Rarely,1328.0,Research & Development,2.0,Bachelor,Life Sciences,High,Male,76.0,High,1.0,Research Scientist,Medium,Married,2703.0,4956.0,0.0,No,23.0,Outstanding,Very High,3.0,Better,No,Age_group 1,Distance_1,HourlyRate_4,Income_2,Rate_1,DailyRate_5,PercentSalaryHike_5
31.0,Travel_Rarely,1082.0,Research & Development,1.0,Master,Medical,High,Male,87.0,High,1.0,Research Scientist,Medium,Single,2501.0,18775.0,1.0,No,17.0,Excellent,Medium,4.0,Better,No,Age_group 2,Distance_1,HourlyRate_4,Income_1,Rate_4,DailyRate_4,PercentSalaryHike_4
32.0,Travel_Rarely,548.0,Research & Development,1.0,Bachelor,Life Sciences,Medium,Male,66.0,High,2.0,Research Scientist,Medium,Married,6220.0,7346.0,1.0,No,17.0,Excellent,Medium,3.0,Better,No,Age_group 2,Distance_1,HourlyRate_3,Income_4,Rate_2,DailyRate_2,PercentSalaryHike_4
36.0,Travel_Rarely,132.0,Research & Development,6.0,Bachelor,Life Sciences,Medium,Female,55.0,Very High,1.0,Laboratory Technician,Very High,Married,3038.0,22002.0,3.0,No,12.0,Excellent,Medium,3.0,Better,No,Age_group 3,Distance_3,HourlyRate_2,Income_2,Rate_5,DailyRate_1,PercentSalaryHike_1
31.0,Travel_Rarely,746.0,Research & Development,8.0,Master,Life Sciences,High,Female,61.0,High,2.0,Manufacturing Director,Very High,Single,4424.0,20682.0,1.0,No,23.0,Outstanding,Very High,2.0,Better,No,Age_group 2,Distance_3,HourlyRate_3,Income_3,Rate_4,DailyRate_3,PercentSalaryHike_5
35.0,Travel_Rarely,776.0,Sales,1.0,Master,Marketing,High,Male,32.0,Medium,2.0,Sales Executive,Low,Single,4312.0,23016.0,0.0,No,14.0,Excellent,Medium,2.0,Better,No,Age_group 3,Distance_1,HourlyRate_1,Income_3,Rate_5,DailyRate_3,PercentSalaryHike_3
45.0,Travel_Rarely,193.0,Research & Development,6.0,Master,Other,Very High,Male,52.0,High,3.0,Research Director,Low,Married,13245.0,15067.0,4.0,Yes,14.0,Excellent,Medium,3.0,Best,No,Age_group 4,Distance_3,HourlyRate_2,Income_5,Rate_3,DailyRate_1,PercentSalaryHike_3
37.0,Travel_Rarely,397.0,Research & Development,7.0,Master,Medical,Low,Male,30.0,High,3.0,Research Director,High,Single,13664.0,25258.0,4.0,No,13.0,Excellent,Low,3.0,Best,No,Age_group 3,Distance_3,HourlyRate_1,Income_5,Rate_5,DailyRate_2,PercentSalaryHike_2
46.0,Travel_Rarely,945.0,Human Resources,5.0,College,Medical,Medium,Male,80.0,High,2.0,Human Resources,Medium,Divorced,5021.0,10425.0,8.0,Yes,22.0,Outstanding,Very High,2.0,Better,No,Age_group 5,Distance_2,HourlyRate_4,Income_3,Rate_2,DailyRate_4,PercentSalaryHike_5
30.0,Travel_Rarely,852.0,Research & Development,1.0,Below College,Life Sciences,Very High,Male,55.0,Medium,2.0,Laboratory Technician,Very High,Married,5126.0,15998.0,1.0,Yes,12.0,Excellent,High,1.0,Good,No,Age_group 2,Distance_1,HourlyRate_2,Income_3,Rate_3,DailyRate_3,PercentSalaryHike_1
35.0,Travel_Rarely,1214.0,Research & Development,1.0,Bachelor,Medical,Medium,Male,30.0,Medium,1.0,Research Scientist,High,Single,2859.0,26278.0,1.0,No,18.0,Excellent,Low,3.0,Better,No,Age_group 3,Distance_1,HourlyRate_1,Income_2,Rate_5,DailyRate_4,PercentSalaryHike_4
55.0,Travel_Rarely,111.0,Sales,1.0,College,Life Sciences,Low,Male,70.0,High,3.0,Sales Executive,Very High,Married,10239.0,18092.0,3.0,No,14.0,Excellent,Very High,4.0,Better,No,Age_group 5,Distance_1,HourlyRate_3,Income_5,Rate_4,DailyRate_1,PercentSalaryHike_3
38.0,Non-Travel,573.0,Research & Development,6.0,Bachelor,Medical,Medium,Female,79.0,Low,2.0,Research Scientist,Very High,Divorced,5329.0,15717.0,7.0,Yes,12.0,Excellent,Very High,3.0,Better,No,Age_group 3,Distance_3,HourlyRate_4,Income_3,Rate_3,DailyRate_2,PercentSalaryHike_1
